date,rating,create,care,talk,move,work,read,write
2/18/21,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2/19/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2/20/21,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
2/21/21,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2/22/21,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2/23/21,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
2/24/21,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
2/25/21,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
2/26/21,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
2/27/21,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
2/28/21,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/1/21,2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
3/2/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
3/3/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
3/4/21,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
3/5/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
3/6/21,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3/7/21,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/8/21,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3/9/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3/10/21,2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
3/11/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
3/12/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
3/13/21,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3/14/21,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
3/15/21,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
